idx,State,LGA,Postcode
4160,Victoria,Corangamite,3267
4161,Victoria,Corangamite,3268
4162,Victoria,Corangamite,3269
4163,Victoria,Corangamite,3270
4164,Victoria,Corangamite,3272
4165,Victoria,Corangamite,3324
4166,Victoria,Corangamite,3325
4167,Victoria,Corangamite,3330
4168,Victoria,Corangamite,3351
4169,Victoria,Corangamite,3360
4170,Victoria,Corangamite,3361
4171,Victoria,Darebin,3057
4172,Victoria,Darebin,3058
4173,Victoria,Darebin,3060
4174,Victoria,Darebin,3068
4175,Victoria,Darebin,3070
4176,Victoria,Darebin,3071
4177,Victoria,Darebin,3072
4178,Victoria,Darebin,3073
4179,Victoria,Darebin,3074
4180,Victoria,Darebin,3078
4181,Victoria,Darebin,3079
4182,Victoria,Darebin,3081
4183,Victoria,Darebin,3083
4184,Victoria,Darebin,3085
4185,Victoria,Darebin,3086
4186,Victoria,Darebin,3087
4187,Victoria,East Gippsland,2551
4188,Victoria,East Gippsland,2627
4189,Victoria,East Gippsland,2632
4190,Victoria,East Gippsland,2633
4191,Victoria,East Gippsland,2649
4192,Victoria,East Gippsland,3697
4193,Victoria,East Gippsland,3701
4194,Victoria,East Gippsland,3707
4195,Victoria,East Gippsland,3741
4196,Victoria,East Gippsland,3851
4197,Victoria,East Gippsland,3858
4198,Victoria,East Gippsland,3862
4199,Victoria,East Gippsland,3864
4200,Victoria,East Gippsland,3865
4201,Victoria,East Gippsland,3875
4202,Victoria,East Gippsland,3878
4203,Victoria,East Gippsland,3880
4204,Victoria,East Gippsland,3882
4205,Victoria,East Gippsland,3885
4206,Victoria,East Gippsland,3886
4207,Victoria,East Gippsland,3887
4208,Victoria,East Gippsland,3888
4209,Victoria,East Gippsland,3889
4210,Victoria,East Gippsland,3890
4211,Victoria,East Gippsland,3891
4212,Victoria,East Gippsland,3892
4213,Victoria,East Gippsland,3895
4214,Victoria,East Gippsland,3896
4215,Victoria,East Gippsland,3898
4216,Victoria,East Gippsland,3900
4217,Victoria,East Gippsland,3902
4218,Victoria,East Gippsland,3903
4219,Victoria,East Gippsland,3904
4220,Victoria,East Gippsland,3909
4221,Victoria,Frankston,3175
4222,Victoria,Frankston,3197
4223,Victoria,Frankston,3198
4224,Victoria,Frankston,3199
4225,Victoria,Frankston,3200
4226,Victoria,Frankston,3201
4227,Victoria,Frankston,3910
4228,Victoria,Frankston,3911
4229,Victoria,Frankston,3912
4230,Victoria,Frankston,3930
4231,Victoria,Frankston,3977
4232,Victoria,Gannawarra,2731
4233,Victoria,Gannawarra,2732
4234,Victoria,Gannawarra,2735
4235,Victoria,Gannawarra,3527
4236,Victoria,Gannawarra,3530
4237,Victoria,Gannawarra,3537
4238,Victoria,Gannawarra,3540
4239,Victoria,Gannawarra,3542
4240,Victoria,Gannawarra,3544
4241,Victoria,Gannawarra,3566
4242,Victoria,Gannawarra,3567
4243,Victoria,Gannawarra,3568
4244,Victoria,Gannawarra,3575
4245,Victoria,Gannawarra,3579
4246,Victoria,Gannawarra,3580
4247,Victoria,Gannawarra,3581
4248,Victoria,Gannawarra,3584
4249,Victoria,Gannawarra,3585
4250,Victoria,Gannawarra,3586
4251,Victoria,Glen Eira,3143
4252,Victoria,Glen Eira,3144
4253,Victoria,Glen Eira,3145
4254,Victoria,Glen Eira,3161
4255,Victoria,Glen Eira,3162
4256,Victoria,Glen Eira,3163
4257,Victoria,Glen Eira,3165
4258,Victoria,Glen Eira,3166
4259,Victoria,Glen Eira,3167
4260,Victoria,Glen Eira,3183
4261,Victoria,Glen Eira,3184
4262,Victoria,Glen Eira,3185
4263,Victoria,Glen Eira,3186
4264,Victoria,Glen Eira,3187
4265,Victoria,Glen Eira,3189
4266,Victoria,Glen Eira,3204
4267,Victoria,Glenelg,3285
4268,Victoria,Glenelg,3286
4269,Victoria,Glenelg,3292
4270,Victoria,Glenelg,3301
4271,Victoria,Glenelg,3302
4272,Victoria,Glenelg,3303
4273,Victoria,Glenelg,3304
4274,Victoria,Glenelg,3305
4275,Victoria,Glenelg,3309
4276,Victoria,Glenelg,3310
4277,Victoria,Glenelg,3311
4278,Victoria,Glenelg,3312
4279,Victoria,Glenelg,3315
4280,Victoria,Glenelg,3317
4281,Victoria,Glenelg,5277
4282,Victoria,Glenelg,5278
4283,Victoria,Glenelg,5291
4284,Victoria,Golden Plains,3221
4285,Victoria,Golden Plains,3242
4286,Victoria,Golden Plains,3251
4287,Victoria,Golden Plains,3321
4288,Victoria,Golden Plains,3324
4289,Victoria,Golden Plains,3328
4290,Victoria,Golden Plains,3329
4291,Victoria,Golden Plains,3330
4292,Victoria,Golden Plains,3331
4293,Victoria,Golden Plains,3332
4294,Victoria,Golden Plains,3333
4295,Victoria,Golden Plains,3334
4296,Victoria,Golden Plains,3340
4297,Victoria,Golden Plains,3342
4298,Victoria,Golden Plains,3351
4299,Victoria,Golden Plains,3352
4300,Victoria,Golden Plains,3356
4301,Victoria,Golden Plains,3360
4302,Victoria,Golden Plains,3361
4303,Victoria,Greater Bendigo,3444
4304,Victoria,Greater Bendigo,3448
4305,Victoria,Greater Bendigo,3453
4306,Victoria,Greater Bendigo,3463
4307,Victoria,Greater Bendigo,3515
4308,Victoria,Greater Bendigo,3516
4309,Victoria,Greater Bendigo,3522
4310,Victoria,Greater Bendigo,3523
4311,Victoria,Greater Bendigo,3550
4312,Victoria,Greater Bendigo,3551
4313,Victoria,Greater Bendigo,3555
4314,Victoria,Greater Bendigo,3556
4315,Victoria,Greater Bendigo,3557
4316,Victoria,Greater Bendigo,3558
4317,Victoria,Greater Bendigo,3559
4318,Victoria,Greater Bendigo,3561
4319,Victoria,Greater Bendigo,3570
4320,Victoria,Greater Bendigo,3572
4321,Victoria,Greater Bendigo,3608
4322,Victoria,Greater Bendigo,3662
4323,Victoria,Greater Dandenong,3168
4324,Victoria,Greater Dandenong,3169
4325,Victoria,Greater Dandenong,3170
4326,Victoria,Greater Dandenong,3171
4327,Victoria,Greater Dandenong,3172
4328,Victoria,Greater Dandenong,3173
4329,Victoria,Greater Dandenong,3174
4330,Victoria,Greater Dandenong,3175
4331,Victoria,Greater Dandenong,3177
4332,Victoria,Greater Dandenong,3178
4333,Victoria,Greater Dandenong,3195
4334,Victoria,Greater Dandenong,3196
4335,Victoria,Greater Dandenong,3197
4336,Victoria,Greater Dandenong,3201
4337,Victoria,Greater Dandenong,3802
4338,Victoria,Greater Dandenong,3803
4339,Victoria,Greater Dandenong,3975
4340,Victoria,Greater Dandenong,3976
4341,Victoria,Greater Dandenong,3977
4342,Victoria,Greater Geelong,3024
4343,Victoria,Greater Geelong,3030
4344,Victoria,Greater Geelong,3211
4345,Victoria,Greater Geelong,3212
4346,Victoria,Greater Geelong,3214
4347,Victoria,Greater Geelong,3215
4348,Victoria,Greater Geelong,3216
4349,Victoria,Greater Geelong,3217
4350,Victoria,Greater Geelong,3218
4351,Victoria,Greater Geelong,3219
4352,Victoria,Greater Geelong,3220
4353,Victoria,Greater Geelong,3221
4354,Victoria,Greater Geelong,3222
4355,Victoria,Greater Geelong,3223
4356,Victoria,Greater Geelong,3224
4357,Victoria,Greater Geelong,3225
4358,Victoria,Greater Geelong,3226
4359,Victoria,Greater Geelong,3227
4360,Victoria,Greater Geelong,3228
4361,Victoria,Greater Geelong,3240
4362,Victoria,Greater Geelong,3331
4363,Victoria,Greater Geelong,3340
4364,Victoria,Greater Geelong,3342
4365,Victoria,Greater Shepparton,3608
4366,Victoria,Greater Shepparton,3610
4367,Victoria,Greater Shepparton,3612
4368,Victoria,Greater Shepparton,3614
4369,Victoria,Greater Shepparton,3616
4370,Victoria,Greater Shepparton,3617
4371,Victoria,Greater Shepparton,3618
4372,Victoria,Greater Shepparton,3620
4373,Victoria,Greater Shepparton,3623
4374,Victoria,Greater Shepparton,3624
4375,Victoria,Greater Shepparton,3629
4376,Victoria,Greater Shepparton,3630
4377,Victoria,Greater Shepparton,3631
4378,Victoria,Greater Shepparton,3633
4379,Victoria,Greater Shepparton,3634
4380,Victoria,Greater Shepparton,3635
4381,Victoria,Greater Shepparton,3636
4382,Victoria,Greater Shepparton,3638
4383,Victoria,Greater Shepparton,3646
4384,Victoria,Greater Shepparton,3666
4385,Victoria,Greater Shepparton,3669
4386,Victoria,Greater Shepparton,3726
4387,Victoria,Hepburn,3341
4388,Victoria,Hepburn,3345
4389,Victoria,Hepburn,3350
4390,Victoria,Hepburn,3352
4391,Victoria,Hepburn,3363
4392,Victoria,Hepburn,3364
4393,Victoria,Hepburn,3370
4394,Victoria,Hepburn,3371
4395,Victoria,Hepburn,3442
4396,Victoria,Hepburn,3444
4397,Victoria,Hepburn,3446
4398,Victoria,Hepburn,3447
4399,Victoria,Hepburn,3451
4400,Victoria,Hepburn,3458
4401,Victoria,Hepburn,3460
4402,Victoria,Hepburn,3461
4403,Victoria,Hepburn,3462
4404,Victoria,Hindmarsh,3391
4405,Victoria,Hindmarsh,3393
4406,Victoria,Hindmarsh,3395
4407,Victoria,Hindmarsh,3401
4408,Victoria,Hindmarsh,3409
4409,Victoria,Hindmarsh,3414
4410,Victoria,Hindmarsh,3418
4411,Victoria,Hindmarsh,3419
4412,Victoria,Hindmarsh,3420
4413,Victoria,Hindmarsh,3423
4414,Victoria,Hindmarsh,3424
4415,Victoria,Hindmarsh,3490
4416,Victoria,Hobsons Bay,3012
4417,Victoria,Hobsons Bay,3013
4418,Victoria,Hobsons Bay,3015
4419,Victoria,Hobsons Bay,3016
4420,Victoria,Hobsons Bay,3018
4421,Victoria,Hobsons Bay,3025
4422,Victoria,Hobsons Bay,3026
4423,Victoria,Hobsons Bay,3027
4424,Victoria,Hobsons Bay,3028
4425,Victoria,Hobsons Bay,3030
4426,Victoria,Hobsons Bay,3207
4427,Victoria,Horsham,3314
4428,Victoria,Horsham,3317
4429,Victoria,Horsham,3381
4430,Victoria,Horsham,3385
4431,Victoria,Horsham,3390
4432,Victoria,Horsham,3392
4433,Victoria,Horsham,3400
4434,Victoria,Horsham,3401
4435,Victoria,Horsham,3407
4436,Victoria,Horsham,3409
4437,Victoria,Horsham,3414
4438,Victoria,Horsham,3418
4439,Victoria,Hume,3036
4440,Victoria,Hume,3037
4441,Victoria,Hume,3042
4442,Victoria,Hume,3043
4443,Victoria,Hume,3045
4444,Victoria,Hume,3046
4445,Victoria,Hume,3047
4446,Victoria,Hume,3048
4447,Victoria,Hume,3049
4448,Victoria,Hume,3059
4449,Victoria,Hume,3060
4450,Victoria,Hume,3061
4451,Victoria,Hume,3062
4452,Victoria,Hume,3063
4453,Victoria,Hume,3064
4454,Victoria,Hume,3074
4455,Victoria,Hume,3075
4456,Victoria,Hume,3427
4457,Victoria,Hume,3428
4458,Victoria,Hume,3429
4459,Victoria,Hume,3430
4460,Victoria,Hume,3431
4461,Victoria,Hume,3437
4462,Victoria,Hume,3750
4463,Victoria,Hume,3751
4464,Victoria,Hume,3756
4465,Victoria,Indigo,2640
4466,Victoria,Indigo,2643
4467,Victoria,Indigo,2646
4468,Victoria,Indigo,3678
4469,Victoria,Indigo,3682
4470,Victoria,Indigo,3683
4471,Victoria,Indigo,3685
4472,Victoria,Indigo,3687
4473,Victoria,Indigo,3688
4474,Victoria,Indigo,3691
4475,Victoria,Indigo,3695
4476,Victoria,Indigo,3701
4477,Victoria,Indigo,3730
4478,Victoria,Indigo,3737
4479,Victoria,Indigo,3747
4480,Victoria,Indigo,3749
4481,Victoria,Kingston,3165
4482,Victoria,Kingston,3167
4483,Victoria,Kingston,3168
4484,Victoria,Kingston,3169
4485,Victoria,Kingston,3171
4486,Victoria,Kingston,3172
4487,Victoria,Kingston,3173
4488,Victoria,Kingston,3175
4489,Victoria,Kingston,3188
4490,Victoria,Kingston,3189
4491,Victoria,Kingston,3190
4492,Victoria,Kingston,3192
4493,Victoria,Kingston,3193
4494,Victoria,Kingston,3194
4495,Victoria,Kingston,3195
4496,Victoria,Kingston,3196
4497,Victoria,Kingston,3197
4498,Victoria,Kingston,3198
4499,Victoria,Kingston,3201
4500,Victoria,Kingston,3202
4501,Victoria,Kingston,3204
4502,Victoria,Knox,3133
4503,Victoria,Knox,3134
4504,Victoria,Knox,3135
4505,Victoria,Knox,3137
4506,Victoria,Knox,3150
4507,Victoria,Knox,3152
4508,Victoria,Knox,3153
4509,Victoria,Knox,3154
4510,Victoria,Knox,3155
4511,Victoria,Knox,3156
4512,Victoria,Knox,3158
4513,Victoria,Knox,3170
4514,Victoria,Knox,3175
4515,Victoria,Knox,3178
4516,Victoria,Knox,3179
4517,Victoria,Knox,3180
4518,Victoria,Knox,3785
4519,Victoria,Knox,3786
4520,Victoria,Knox,3787
4521,Victoria,Knox,3788
4522,Victoria,Knox,3802
4523,Victoria,Knox,3804
4524,Victoria,Latrobe,3824
4525,Victoria,Latrobe,3825
4526,Victoria,Latrobe,3835
4527,Victoria,Latrobe,3840
4528,Victoria,Latrobe,3842
4529,Victoria,Latrobe,3844
4530,Victoria,Latrobe,3847
4531,Victoria,Latrobe,3854
4532,Victoria,Latrobe,3856
4533,Victoria,Latrobe,3857
4534,Victoria,Latrobe,3858
4535,Victoria,Latrobe,3869
4536,Victoria,Latrobe,3870
4537,Victoria,Latrobe,3871
4538,Victoria,Latrobe,3873
4539,Victoria,Latrobe,3960
4540,Victoria,Latrobe,3966
4541,Victoria,Latrobe,3971
4542,Victoria,Loddon,3463
4543,Victoria,Loddon,3472
4544,Victoria,Loddon,3475
4545,Victoria,Loddon,3477
4546,Victoria,Loddon,3478
4547,Victoria,Loddon,3515
4548,Victoria,Loddon,3516
4549,Victoria,Loddon,3517
4550,Victoria,Loddon,3518
4551,Victoria,Loddon,3520
4552,Victoria,Loddon,3525
4553,Victoria,Loddon,3527
4554,Victoria,Loddon,3537
4555,Victoria,Loddon,3540
4556,Victoria,Loddon,3551
4557,Victoria,Loddon,3556
4558,Victoria,Loddon,3558
4559,Victoria,Loddon,3566
4560,Victoria,Loddon,3567
4561,Victoria,Loddon,3568
4562,Victoria,Loddon,3570
4563,Victoria,Loddon,3571
4564,Victoria,Loddon,3572
4565,Victoria,Loddon,3573
4566,Victoria,Loddon,3575
4567,Victoria,Loddon,3579
4568,Victoria,Macedon Ranges,3064
4569,Victoria,Macedon Ranges,3337
4570,Victoria,Macedon Ranges,3340
4571,Victoria,Macedon Ranges,3341
4572,Victoria,Macedon Ranges,3427
4573,Victoria,Macedon Ranges,3429
4574,Victoria,Macedon Ranges,3430
4575,Victoria,Macedon Ranges,3431
4576,Victoria,Macedon Ranges,3433
4577,Victoria,Macedon Ranges,3434
4578,Victoria,Macedon Ranges,3435
4579,Victoria,Macedon Ranges,3437
4580,Victoria,Macedon Ranges,3438
4581,Victoria,Macedon Ranges,3440
4582,Victoria,Macedon Ranges,3441
4583,Victoria,Macedon Ranges,3442
4584,Victoria,Macedon Ranges,3444
4585,Victoria,Macedon Ranges,3446
4586,Victoria,Macedon Ranges,3447
4587,Victoria,Macedon Ranges,3458
4588,Victoria,Macedon Ranges,3461
4589,Victoria,Macedon Ranges,3521
4590,Victoria,Macedon Ranges,3522
4591,Victoria,Macedon Ranges,3756
4592,Victoria,Macedon Ranges,3758
4593,Victoria,Macedon Ranges,3764
4594,Victoria,Manningham,3079
4595,Victoria,Manningham,3084
4596,Victoria,Manningham,3093
4597,Victoria,Manningham,3095
4598,Victoria,Manningham,3097
4599,Victoria,Manningham,3104
4600,Victoria,Manningham,3105
4601,Victoria,Manningham,3106
4602,Victoria,Manningham,3107
4603,Victoria,Manningham,3108
4604,Victoria,Manningham,3109
4605,Victoria,Manningham,3111
4606,Victoria,Manningham,3113
4607,Victoria,Manningham,3114
4608,Victoria,Manningham,3115
4609,Victoria,Manningham,3116
4610,Victoria,Manningham,3129
4611,Victoria,Manningham,3130
4612,Victoria,Manningham,3131
4613,Victoria,Manningham,3132
4614,Victoria,Manningham,3134
4615,Victoria,Manningham,3136
4616,Victoria,Manningham,3775
4617,Victoria,Mansfield,3666
4618,Victoria,Mansfield,3670
4619,Victoria,Mansfield,3673
4620,Victoria,Mansfield,3678
4621,Victoria,Mansfield,3713
4622,Victoria,Mansfield,3714
4623,Victoria,Mansfield,3715
4624,Victoria,Mansfield,3719
4625,Victoria,Mansfield,3720
4626,Victoria,Mansfield,3722
4627,Victoria,Mansfield,3723
4628,Victoria,Mansfield,3799
4629,Victoria,Mansfield,3833
4630,Victoria,Mansfield,3858
4631,Victoria,Maribyrnong,3003
4632,Victoria,Maribyrnong,3011
4633,Victoria,Maribyrnong,3012
4634,Victoria,Maribyrnong,3013
4635,Victoria,Maribyrnong,3015
4636,Victoria,Maribyrnong,3019
4637,Victoria,Maribyrnong,3020
4638,Victoria,Maribyrnong,3031
4639,Victoria,Maribyrnong,3032
4640,Victoria,Maribyrnong,3034
4641,Victoria,Maribyrnong,3039
4642,Victoria,Maribyrnong,3040
4643,Victoria,Maroondah,3111
4644,Victoria,Maroondah,3114
4645,Victoria,Maroondah,3115
4646,Victoria,Maroondah,3116
