,suburb,median_price,p_type
200,Croydon North,825000,house
121,Croydon North,610000,unit
201,Croydon South,716000,house
122,Croydon South,652000,unit
202,Curlewis,560000,house
203,Dallas,451500,house
123,Dallas,429000,unit
204,Dalyston,373000,house
205,Dandenong,602000,house
124,Dandenong,337000,unit
110,Dandenong East,773250,house
111,Dandenong East,543750,unit
206,Dandenong North,605000,house
125,Dandenong North,430000,unit
112,Dandenong South,773250,house
113,Dandenong South,543750,unit
207,Darley,520000,house
126,Darley,310000,unit
114,Darling,1423750,house
115,Darling,638250,unit
208,Dartmoor,157500,house
209,Daylesford,590000,house
127,Daylesford,535500,unit
211,Deepdene,2758000,house
128,Deepdene,1060000,unit
212,Deer Park,550000,house
129,Deer Park,460000,unit
116,Deer Park East,632500,house
117,Deer Park East,465000,unit
118,Deer Park North,594625,house
119,Deer Park North,440250,unit
213,Delacombe,390000,house
214,Delahey,530000,house
130,Delahey,400000,unit
120,Dendy,1525000,house
121,Dendy,641500,unit
215,Dennington,360000,house
216,Derrimut,649000,house
217,Derrinallum,221500,house
122,Devon Meadows,602500,house
123,Devon Meadows,430500,unit
124,Dewhurst,605000,house
125,Dewhurst,430000,unit
218,Diamond Creek,751500,house
131,Diamond Creek,661000,unit
219,Diggers Rest,515000,house
220,Dimboola,120000,house
221,Dingley Village,810000,house
132,Dingley Village,600000,unit
222,Dinner Plain,520000,house
126,Dixons Creek,711625,house
127,Dixons Creek,557750,unit
133,Docklands,590000,unit
128,Don Valley,632000,house
129,Don Valley,498375,unit
223,Donald,135500,house
224,Doncaster,1251500,house
134,Doncaster,620000,unit
225,Doncaster East,1190000,house
135,Doncaster East,796000,unit
130,Doncaster Heights,1087875,house
131,Doncaster Heights,706250,unit
132,Donnybrook,563000,house
133,Donnybrook,410000,unit
226,Donvale,1121000,house
136,Donvale,756000,unit
227,Doreen,597500,house
137,Doreen,430000,unit
228,Doveton,470000,house
138,Doveton,400000,unit
229,Dromana,715500,house
139,Dromana,585000,unit
230,Drouin,440000,house
140,Drouin,334000,unit
231,Drysdale,572500,house
141,Drysdale,392500,unit
134,Dunearn,773250,house
135,Dunearn,543750,unit
232,Dunkeld,225000,house
233,Dunolly,234500,house
234,Eagle Point,360000,house
235,Eaglehawk,321500,house
142,Eaglehawk,242000,unit
236,Eaglemont,1799000,house
143,Eaglemont,785000,unit
237,East Bairnsdale,235000,house
238,East Bendigo,390000,house
144,East Bendigo,331000,unit
239,East Geelong,625000,house
145,East Geelong,425500,unit
240,East Melbourne,3413500,house
146,East Melbourne,595000,unit
241,East Warburton,446500,house
242,Eastwood,410000,house
243,Echuca,370000,house
147,Echuca,269000,unit
244,Edenhope,173000,house
