,suburb,Count,price,yield,cagr,ptype,total_income
31,Burwood,234.375,921000,0.024277958740499456,0.056093124539366546,H,0.080371083279866
32,Ashburton,234.375,1200000,0.01863333333333333,0.07649495340526191,H,0.09512828673859525
33,Camberwell,229.6875,1655000,0.018851963746223565,0.06160689621814597,H,0.08045885996436954
34,Glen Iris,229.6875,1500000,0.0208,0.06514463180429808,H,0.08594463180429808
35,Canterbury,63.12499999999999,2100000,0.014361904761904761,0.053624992324317056,H,0.06798689708622181
36,Surrey Hills,63.12499999999999,1450000,0.0208,0.06425973072655577,H,0.08505973072655577
37,Mont Albert,63.12499999999999,1490000,0.020241610738255034,0.045805022713321764,H,0.0660466334515768
38,Chadstone,216.5625,823500,0.02525804493017608,0.05782180377349477,H,0.08307984870367086
39,Oakleigh,216.5625,801500,0.02595134123518403,0.05927730345200777,H,0.0852286446871918
40,Clayton,416.25,750000,0.026346666666666668,0.06989264506332438,H,0.09623931172999105
41,Doncaster East,240.9375,894500,0.023892677473448854,0.06566484998618471,H,0.08955752745963357
42,Donvale,240.9375,840000,0.025442857142857142,0.06432218321133476,H,0.0897650403541919
43,Glen Waverley,643.125,960000,0.021666666666666667,0.06764280723567695,H,0.08930947390234362
44,Mulgrave,643.125,627000,0.03317384370015949,0.05788810618585849,H,0.09106194988601798
45,Hawthorn,151.875,1606500,0.021039526921879863,0.05900698194289977,H,0.08004650886477964
46,Kew,277.5,1950000,0.015866666666666668,0.049574267664279414,H,0.06544093433094608
47,Mount Waverley,519.375,950000,0.022989473684210525,0.062425395043641974,H,0.0854148687278525
48,Nunawading,219.375,721500,0.02810810810810811,0.06397217518872389,H,0.092080283296832
49,Mitcham,219.375,730000,0.02778082191780822,0.0643291392994465,H,0.09210996121725472
50,Vermont,251.87500000000003,725000,0.02797241379310345,0.06065373278400976,H,0.08862614657711321
51,Forest Hill,251.87500000000003,720500,0.028147120055517002,0.059906248416558894,H,0.0880533684720759
52,Burwood East,251.87500000000003,782000,0.025933503836317137,0.05991864432846561,H,0.08585214816478275
53,Aspendale,205.625,690000,0.03089855072463768,0.06145167348415126,H,0.09235022420878894
54,Chelsea,205.625,580000,0.03675862068965517,0.059079836697975896,H,0.09583845738763107
55,Carrum,205.625,536000,0.039776119402985075,0.05876639105042214,H,0.09854251045340721
56,Bentleigh,883.125,1050000,0.023276190476190475,0.0637777116827083,H,0.08705390215889877
57,Brighton,232.5,1940000,0.020103092783505156,0.0434038687156455,H,0.06350696149915065
58,Brighton East,208.125,1300000,0.0252,0.04728756041486615,H,0.07248756041486615
59,Carnegie,120.0,1007500,0.027870967741935485,0.052209148113804504,H,0.08008011585573999
60,Caulfield,348.75,1322000,0.023600605143721635,0.05782851991052018,H,0.08142912505424182
61,Cheltenham,841.875,775000,0.030193548387096775,0.05688280878500107,H,0.08707635717209784
62,Elsternwick,84.375,1315000,0.024319391634980987,0.05915661221594415,H,0.08347600385092513
63,Hampton,212.8125,1340000,0.025223880597014924,0.05585699489122575,H,0.08108087548824068
64,Beaumaris,212.8125,1129500,0.02992474546259407,0.05590891300142564,H,0.08583365846401972
65,Malvern,106.875,1946000,0.01817060637204522,0.05090835873580124,H,0.06907896510784646
66,Malvern East,292.5,1380000,0.019971014492753625,0.06398040998066779,H,0.08395142447342141
67,Mentone,118.125,810000,0.03209876543209877,0.05558423626726072,H,0.0876830016993595
68,Parkdale,118.125,860000,0.030232558139534883,0.06333521457721258,H,0.09356777271674746
69,Mordialloc,118.125,755000,0.03443708609271523,0.05795051158627085,H,0.09238759767898608
70,Murrumbeena,75.9375,982500,0.02381679389312977,0.050923795203415834,H,0.0747405890965456
71,Hughesdale,75.9375,856000,0.027336448598130843,0.051695902424100604,H,0.07903235102223144
72,Altona,2713.125,646500,0.027347254447022427,0.0586719754580014,H,0.08601922990502384
73,Footscray,260.625,645000,0.03144186046511628,0.04838153718017435,H,0.07982339764529063
74,Keilor East,360.0,599000,0.03212020033388981,0.06282818346753172,H,0.09494838380142154
75,Avondale Heights,360.0,560000,0.03435714285714286,0.05821208929552757,H,0.09256923215267043
76,Melton,1974.375,240000,0.0585,0.05876639105042214,H,0.11726639105042214
77,Newport,214.6875,740000,0.031621621621621625,0.06538466976854496,H,0.09700629139016659
78,Spotswood,214.6875,640000,0.0365625,0.0659242125922681,H,0.1024867125922681
79,St Albans,834.375,373500,0.04176706827309237,0.06647095428167127,H,0.10823802255476364
80,Deer Park,834.375,365000,0.042739726027397264,0.06038634446316582,H,0.10312607049056308
81,Sunshine,1100.625,483500,0.03334022750775595,0.06322893949828501,H,0.09656916700604096
82,Sydenham,1740.0,415000,0.04260240963855422,0.04944273727853443,H,0.09204514691708865
83,Werribee,2483.4375,315000,0.04787301587301587,0.06826489175630868,H,0.11613790762932455
84,Hoppers Crossing,2483.4375,340000,0.04435294117647059,0.06445144438202632,H,0.10880438555849692
85,West Footscray,622.5,637500,0.02854901960784314,0.051192531326874846,H,0.07974155093471799
86,Williamstown,258.75,970000,0.029484536082474228,0.05371794967223553,H,0.08320248575470976
87,Yarraville,296.25,710000,0.03295774647887324,0.060235145547688385,H,0.09319289202656163
88,Seddon,296.25,730000,0.03205479452054794,0.06425671826289459,H,0.09631151278344252
89,Broadmeadows,657.1875,345000,0.04823188405797101,0.05095368323996019,H,0.09918556729793121
90,Roxburgh Park,657.1875,385000,0.04322077922077922,0.04734914926430567,H,0.09056992848508488
91,Brunswick,399.375,815000,0.0363680981595092,0.053781910216209594,H,0.0901500083757188
92,Coburg,346.875,710000,0.03295774647887324,0.05686379514274531,H,0.08982154162161855
93,Pascoe Vale South,346.875,701000,0.0333808844507846,0.05598366619298689,H,0.0893645506437715
