,suburb,median_rent,Count
71,Moonee Ponds,440.0,292.0
71,Ascot Vale,440.0,292.0
72,Oak Park,370.0,223.66666666666666
72,Glenroy,370.0,223.66666666666666
72,Fawkner,370.0,223.66666666666666
73,Pascoe Vale,390.0,219.0
73,Coburg North,390.0,219.0
74,Sunbury,330.0,112.0
75,West Brunswick,400.0,454.0
76,Bundoora,370.0,189.66666666666666
76,Greensborough,370.0,189.66666666666666
76,Hurstbridge,370.0,189.66666666666666
77,Eltham,380.0,40.0
77,Research,380.0,40.0
77,Montmorency,380.0,40.0
78,Fairfield,430.0,112.5
78,Alphington,430.0,112.5
79,Heidelberg,400.0,204.5
79,Heidelberg West,400.0,204.5
80,Ivanhoe,430.0,140.5
80,Ivanhoe East,430.0,140.5
81,Mill Park,340.0,133.5
81,Epping,340.0,133.5
82,Northcote,480.0,395.0
83,Preston,400.0,546.0
84,Reservoir,360.0,782.0
85,Thomastown,340.0,143.5
85,Lalor,340.0,143.5
86,Thornbury,400.0,367.0
87,Whittlesea,310.0,48.0
88,Bayswater,358.0,215.0
89,Boronia,360.0,257.0
90,Croydon,360.0,243.0
90,Lilydale,360.0,243.0
91,Ferntree Gully,365.0,127.0
92,Ringwood,370.0,619.0
93,Rowville,390.0,66.0
94,Wantirna,400.0,65.5
94,Scoresby,400.0,65.5
95,Yarra Ranges,320.0,83.0
96,Berwick,330.0,102.0
97,Cranbourne,310.0,178.0
98,Dandenong,310.0,806.0
99,Dandenong North,325.0,114.0
99,Endeavour Hills,325.0,114.0
100,Narre Warren,330.0,98.5
100,Hampton Park,330.0,98.5
101,Noble Park,340.0,506.0
102,Pakenham,300.0,185.0
103,Springvale,350.0,570.0
104,Dromana,325.0,109.5
104,Portsea,325.0,109.5
105,Frankston,320.0,718.0
106,Hastings,325.0,81.5
106,Flinders,325.0,81.5
107,Mt Eliza,370.0,76.0
107,Mornington,370.0,76.0
107,Mt Martha,370.0,76.0
108,Seaford,330.0,138.0
108,Carrum Downs,330.0,138.0
109,Belmont,320.0,169.5
109,Grovedale,320.0,169.5
110,Corio,280.0,86.0
111,Geelong,320.0,152.5
111,Newcombe,320.0,152.5
112,Herne Hill,300.0,76.5
112,Geelong West,300.0,76.5
113,Lara,305.0,53.0
114,Newtown,320.0,106.0
115,North Geelong,310.0,130.0
116,Ballarat,260.0,257.0
117,Mount Clear,243.0,16.0
117,Buninyong,243.0,16.0
118,Sebastopol,250.0,75.0
118,Delacombe,250.0,75.0
119,Wendouree,250.0,64.5
119,Alfredton,250.0,64.5
120,Bendigo,263.0,98.0
121,Flora Hill,250.0,140.5
121,Bendigo East,250.0,140.5
122,Golden Square,260.0,36.5
122,Kangaroo Flat,260.0,36.5
123,North Bendigo,260.0,155.0
124,Bairnsdale,250.0,83.0
125,Benalla,220.0,78.0
126,Castlemaine,295.0,30.0
127,Echuca,260.0,106.0
128,Hamilton,230.0,47.0
129,Horsham,220.0,154.0
130,Mildura,225.0,262.0
131,Moe,178.0,46.0
131,Newborough,178.0,46.0
132,Morwell,190.0,117.0
133,Ocean Grove,345.0,32.0
133,Barwon Heads,345.0,32.0
134,Portland,210.0,63.0
135,Sale,230.0,75.0
135,Maffra,230.0,75.0
136,Seymour,220.0,36.0
137,Shepparton,240.0,311.0
138,Swan Hill,230.0,92.0
139,Torquay,370.0,41.0
140,Traralgon,240.0,160.0
141,Wanagaratta,230.0,136.0
142,Warragul,270.0,65.0
143,Warrnambool,260.0,271.0
144,Wodonga,240.0,297.0
