,LGA,suburb
846,Darebin,Coburg North
847,Darebin,Merlynston
848,Darebin,Moreland
849,Moreland,Batman
850,Moreland,Coburg
851,Moreland,Coburg North
852,Moreland,Merlynston
853,Moreland,Moreland
854,Darebin,Fawkner
855,Darebin,Fawkner East
856,Darebin,Fawkner North
857,Hume,Fawkner
858,Hume,Fawkner East
859,Hume,Fawkner North
860,Moreland,Fawkner
861,Moreland,Fawkner East
862,Moreland,Fawkner North
863,Darebin,Clifton Hill
864,Darebin,Fitzroy North
865,Melbourne,Clifton Hill
866,Melbourne,Fitzroy North
867,Moreland,Clifton Hill
868,Moreland,Fitzroy North
869,Yarra,Clifton Hill
870,Yarra,Fitzroy North
871,Darebin,Northcote
872,Darebin,Northcote South
873,Moreland,Northcote
874,Moreland,Northcote South
875,Yarra,Northcote
876,Yarra,Northcote South
877,Darebin,Thomastown
878,Hume,Thomastown
879,Moreland,Thomastown
880,Whittlesea,Thomastown
881,Frankston,Carrum
882,Frankston,Patterson Lakes
883,Greater Dandenong,Carrum
884,Greater Dandenong,Patterson Lakes
885,Kingston,Carrum
886,Kingston,Patterson Lakes
887,Frankston,Belvedere Park
888,Frankston,Seaford
889,Kingston,Belvedere Park
890,Kingston,Seaford
891,Frankston,Frankston
892,Frankston,Frankston East
893,Frankston,Frankston Heights
894,Frankston,Frankston South
895,Frankston,Karingal
896,Frankston,Karingal Centre
897,Mornington Peninsula,Frankston
898,Mornington Peninsula,Frankston East
899,Mornington Peninsula,Frankston Heights
900,Mornington Peninsula,Frankston South
901,Mornington Peninsula,Karingal
902,Mornington Peninsula,Karingal Centre
903,Frankston,Frankston North
904,Frankston,Pines Forest
905,Frankston,Carrum Downs
906,Greater Dandenong,Carrum Downs
907,Kingston,Carrum Downs
908,Frankston,Kunyung
909,Frankston,Mount Eliza
910,Mornington Peninsula,Kunyung
911,Mornington Peninsula,Mount Eliza
912,Glen Eira,Armadale
913,Glen Eira,Armadale North
914,Port Phillip,Armadale
915,Port Phillip,Armadale North
916,Stonnington,Armadale
917,Stonnington,Armadale North
918,Glen Eira,Caulfield Junction
919,Glen Eira,Caulfield North
920,Port Phillip,Caulfield Junction
921,Port Phillip,Caulfield North
922,Stonnington,Caulfield Junction
923,Stonnington,Caulfield North
924,Glen Eira,Carnegie
925,Glen Eira,Glen Huntly
926,Glen Eira,Murrumbeena
927,Monash,Carnegie
928,Monash,Glen Huntly
929,Monash,Murrumbeena
930,Stonnington,Carnegie
931,Stonnington,Glen Huntly
932,Stonnington,Murrumbeena
933,Glen Eira,Bentleigh East
934,Glen Eira,Coatesville
935,Kingston,Bentleigh East
936,Kingston,Coatesville
937,Monash,Bentleigh East
938,Monash,Coatesville
939,Glen Eira,Hughesdale
940,Glen Eira,Huntingdale
941,Glen Eira,Oakleigh
942,Glen Eira,Oakleigh East
943,Monash,Hughesdale
944,Monash,Huntingdale
945,Monash,Oakleigh
946,Monash,Oakleigh East
947,Stonnington,Hughesdale
948,Stonnington,Huntingdale
949,Stonnington,Oakleigh
950,Stonnington,Oakleigh East
951,Glen Eira,Oakleigh South
952,Kingston,Oakleigh South
953,Monash,Oakleigh South
954,Glen Eira,Balaclava
955,Glen Eira,St Kilda East
956,Port Phillip,Balaclava
957,Port Phillip,St Kilda East
958,Stonnington,Balaclava
